Data,Centro de custo, DEBITO, BAIXA
1/4/2023,Totais de 01.02-VENDA - BALCAO,," R$ 13.254,00 "
1/4/2023,Totais de 01.03-VENDA - OFICINA,," R$ 98.003,00 "
1/4/2023,Totais de 03.03-VENDA - OLEO QUEIMADO, R$ -   ," R$ 530,00 "
1/4/2023,Totais de 03.05-OUTROS CREDITOS, R$ -   ," R$ 38,24 "
1/4/2023,Totais de 04.01-COMPRA DE PECAS," R$ 60.354,00 ", R$ -   
1/4/2023,Totais de 04.02-DEVOLUÇÃO," R$ 966,20 ", R$ -   
1/4/2023,Totais de 05.02-TAXI," R$ 685,00 ", R$ -   
1/4/2023,Totais de 05.03-SERVIÇOS DE TERCEIROS," R$ 762,00 ", R$ -   
1/4/2023,Totais de 06.02-AGUA," R$ 192,60 ", R$ -   
1/4/2023,Totais de 06.03-ALUGUEL," R$ 6.510,00 ", R$ -   
1/4/2023,Totais de 06.04-TELEFONE," R$ 188,25 ", R$ -   
1/4/2023,Totais de 06.06-CONSULTORIA," R$ 1.302,00 ", R$ -   
1/4/2023,Totais de 06.08-ENERGIA," R$ 887,99 ", R$ -   
1/4/2023,Totais de 06.09-CONTABILIDADE," R$ 1.485,00 ", R$ -   
1/4/2023,Totais de 06.10-CARTÓRIO/TAXAS/CORREIOS," R$ 190,00 ", R$ -   
1/4/2023,Totais de 06.12-SISTEMA INFORMAÇÃO," R$ 465,00 ", R$ -   
1/4/2023,Totais de 06.13-SEGURO PREDIAL," R$ 127,71 ", R$ -   
1/4/2023,Totais de 07.01-SALARIOS," R$ 18.699,02 ", R$ -   
1/4/2023,Totais de 07.04-FERIAS," R$ 3.096,60 ", R$ -   
1/4/2023,Totais de 07.05-ACERTO TRABALHISTA," R$ 2.646,90 ", R$ -   
1/4/2023,Totais de 07.11-ADIANTAMENTO," R$ 1.400,00 ", R$ -   
1/4/2023,Totais de 07.12-EPI," R$ 320,20 ", R$ -   
1/4/2023,Totais de 07.13-CURSOS E PALESTRAS," R$ 120,00 ", R$ -   
1/4/2023,Totais de 07.14-LANCHES COLABORADORES," R$ 20,00 ", R$ -   
1/4/2023,Totais de 07.16-FGTS," R$ 3.772,31 ", R$ -   
1/4/2023,Totais de 07.18-CONVENIO," R$ 1.646,76 ", R$ -   
1/4/2023,Totais de 08.06-PROPAGANDA - RADIO/JORNAL/REVISTA," R$ 200,00 ", R$ -   
1/4/2023,Totais de 10.03-DARF," R$ 8.747,28 ", R$ -   
1/4/2023,Totais de 10.05-ISS," R$ 15,32 ", R$ -   
1/4/2023,Totais de 10.09-IPVA," R$ 247,40 ", R$ -   
1/4/2023,Totais de 10.11-SIMPLES NACIONAL," R$ 264,29 ", R$ -   
1/4/2023,Totais de 11.03-FERRAMENTAS," R$ 79,99 ", R$ -   
1/4/2023,Totais de 11.04-MOVEIS PARA ESCRITORIO," R$ 166,50 ", R$ -   
1/4/2023,Totais de 12.03-EQUIPAMENTOS DA OFICINA," R$ 45,00 ", R$ -   
1/4/2023,Totais de 13.04-COMBUSTIVEL," R$ 560,73 ", R$ -   
1/4/2023,Totais de 14.02-PEQUENOS REPAROS," R$ 168,00 ", R$ -   
1/4/2023,Totais de 15.01-Prolabore," R$ 8.231,00 ", R$ -   
1/4/2023,Totais de 18.01-TARIFAS BANCARIAS," R$ 59,91 ", R$ -   
1/4/2023,Totais de 18.04-TAXA DE CARTAO," R$ 704,20 ", R$ -   
1/4/2023,Totais de 19.01-USO E CONSUMO OFICINA," R$ 938,85 ", R$ -   
1/4/2023,Totais de 20.02-GARANTIA," R$ 192,45 ", R$ -   
1/4/2023,Totais de 6.01.02-ENCARGOS CARTAO DE CREDITO," R$ 3.579,64 ", R$ -   
1/4/2023,Total Receitas:," R$ 130.038,10 "," R$ 111.825,24 "
